ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
Text(Entity),366,11058,
JCL,1824,43964,
Program,679,730045,
Include,521,54344,
SubRoutine,356,77616,
,,,
Sr.No,FileName,LinesCount,ProjectName
1,AC.FLE.txt,12,CCSES-CT-Universe
2,AD.FLE.D.txt,1,CCSES-CT-Universe
3,AD.FLE.txt,26,CCSES-CT-Universe
4,AE.FLE.txt,13,CCSES-CT-Universe
5,AG.FLE.txt,40,CCSES-CT-Universe
6,AP.FLE.txt,262,CCSES-CT-Universe
7,AT.FLE.txt,40,CCSES-CT-Universe
8,AU.FLE.txt,56,CCSES-CT-Universe
9,AU.HIST.txt,51,CCSES-CT-Universe
10,BC.FLE.txt,38,CCSES-CT-Universe
11,BCH.FLE.txt,9,CCSES-CT-Universe
12,BCS.TEMP.txt,10,CCSES-CT-Universe
13,BCU.HDR.txt,4,CCSES-CT-Universe
14,BD.FLE.txt,11,CCSES-CT-Universe
15,BK.FLE.txt,40,CCSES-CT-Universe
16,BP1400.TEMP.txt,46,CCSES-CT-Universe
17,BP2010.TEMP.txt,17,CCSES-CT-Universe
18,BP2205.TEMP.txt,28,CCSES-CT-Universe
19,BP2400.TEMP.txt,21,CCSES-CT-Universe
20,BP6050.TEMP.txt,26,CCSES-CT-Universe
21,BPH.FLE.txt,3,CCSES-CT-Universe
22,BR.FLE.txt,18,CCSES-CT-Universe
23,BS.FLE.txt,35,CCSES-CT-Universe
24,CA.HDR.txt,6,CCSES-CT-Universe
25,CB.FLE.txt,38,CCSES-CT-Universe
26,CB0300.TEMP.txt,17,CCSES-CT-Universe
27,CB2000.TEMP.txt,35,CCSES-CT-Universe
28,CC.FLE.txt,3,CCSES-CT-Universe
29,CF.FLE.txt,40,CCSES-CT-Universe
30,CG.FLE.txt,170,CCSES-CT-Universe
31,CH.FLE.txt,27,CCSES-CT-Universe
32,CHK.BK.DTL.txt,41,CCSES-CT-Universe
33,CHK.BK.HDR.QC.txt,20,CCSES-CT-Universe
34,CHK.BK.HDR.txt,42,CCSES-CT-Universe
35,CHK.RC.txt,3,CCSES-CT-Universe
36,CHK125.TEMP.txt,15,CCSES-CT-Universe
37,CHK210.TEMP.txt,9,CCSES-CT-Universe
38,CHK300.TEMP.txt,19,CCSES-CT-Universe
39,CHK990.TEMP.txt,3,CCSES-CT-Universe
40,CHK999.TEMP.txt,3,CCSES-CT-Universe
41,CI.HDR.txt,4,CCSES-CT-Universe
42,CK6000.TEMP.txt,30,CCSES-CT-Universe
43,CKH.TEMP.txt,17,CCSES-CT-Universe
44,CL.FLE.txt,35,CCSES-CT-Universe
45,CLOSE.TEMP.txt,1,CCSES-CT-Universe
46,CN.FLE.txt,11,CCSES-CT-Universe
47,CN.HIST.txt,11,CCSES-CT-Universe
48,CND.TEMP.txt,6,CCSES-CT-Universe
49,CO.FLE.txt,44,CCSES-CT-Universe
50,CP.FLE.txt,6,CCSES-CT-Universe
51,CRC.FLE.txt,18,CCSES-CT-Universe
52,CSIR.TEMP.txt,17,CCSES-CT-Universe
53,CT.FLE.txt,38,CCSES-CT-Universe
54,CV1000.TEMP.txt,10,CCSES-CT-Universe
55,CVNR.TEMP.txt,15,CCSES-CT-Universe
56,DB.WORK.txt,301,CCSES-CT-Universe
57,DB.WORKEOQ1.txt,31,CCSES-CT-Universe
58,DB.WORKEOQ2.txt,31,CCSES-CT-Universe
59,DB.WORKEOQ3.txt,31,CCSES-CT-Universe
60,DB.WORKEOQ4.txt,31,CCSES-CT-Universe
61,DB.WORKEOQ5.txt,31,CCSES-CT-Universe
62,DB.WORKQ1.txt,31,CCSES-CT-Universe
63,DB.WORKQ2.txt,31,CCSES-CT-Universe
64,DB.WORKQ3.txt,31,CCSES-CT-Universe
65,DB.WORKQ4.txt,31,CCSES-CT-Universe
66,DBCARDS.TEMP.txt,30,CCSES-CT-Universe
67,DEP.TEMP.txt,13,CCSES-CT-Universe
68,DEPO.DTL.txt,9,CCSES-CT-Universe
69,DEPO.FLE.txt,13,CCSES-CT-Universe
70,DF.FLE.txt,1,CCSES-CT-Universe
71,DIM.TEMP.txt,9,CCSES-CT-Universe
72,DISB.TEMP.txt,3,CCSES-CT-Universe
73,DMD1.TEMP.txt,1,CCSES-CT-Universe
74,DOC.TEMP.txt,31,CCSES-CT-Universe
75,DP.FLE.txt,80,CCSES-CT-Universe
76,DS.FLE.txt,27,CCSES-CT-Universe
77,DS.WORK.txt,4,CCSES-CT-Universe
